t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
2.338902,0.110176,0.327636,0.774351,15.085803,27.134176,4.478276,13.268000,26.094000,3.436000
2.370167,0.110176,0.327636,0.774351,14.826350,27.336198,4.464087,13.268000,26.094000,3.436000
2.421370,0.103865,0.332765,0.772211,14.610138,27.393629,4.377602,12.814000,26.452000,3.294000
2.452626,0.103865,0.332765,0.772211,14.465885,27.768283,4.291118,12.814000,26.452000,3.294000
2.503235,0.097401,0.337779,0.770237,13.946978,27.970305,4.291118,12.349000,26.802000,3.163000
2.534499,0.097401,0.337779,0.770237,14.062516,27.970305,4.319833,12.349000,26.802000,3.163000
2.585346,0.090812,0.342665,0.768383,13.630093,28.301717,4.118149,11.875000,27.143000,3.040000
2.616609,0.090812,0.342665,0.768383,13.601378,28.402390,4.031664,11.875000,27.143000,3.040000
2.667733,0.084084,0.347421,0.766680,13.197671,28.705086,4.002611,11.391000,27.475000,2.927000
2.698990,0.084084,0.347421,0.766680,13.125713,28.820624,3.959369,11.391000,27.475000,2.927000
2.750198,0.077246,0.352020,0.765127,12.837544,28.935824,3.916127,10.899000,27.796000,2.824000
2.781448,0.077246,0.352020,0.765127,12.621333,29.180751,3.930653,10.899000,27.796000,2.824000
2.832783,0.070311,0.356490,0.763695,12.332826,29.396962,3.584715,10.400000,28.108000,2.729000
2.864040,0.070311,0.356490,0.763695,11.987225,29.627700,3.599242,10.400000,28.108000,2.729000
2.915032,0.063279,0.360802,0.762399,11.914930,29.598646,3.700253,9.894000,28.409000,2.643000
2.946295,0.063279,0.360802,0.762399,11.540276,29.656415,3.541473,9.894000,28.409000,2.643000
2.997584,0.056165,0.364956,0.761224,11.064611,29.973300,3.527284,9.382000,28.699000,2.565000
3.028836,0.056165,0.364956,0.761224,11.007180,30.204038,3.411746,9.382000,28.699000,2.565000
3.080132,0.048981,0.368939,0.760184,10.675431,30.290522,3.454988,8.865000,28.977000,2.496000
3.111382,0.048981,0.368939,0.760184,10.358547,30.463491,3.397557,8.865000,28.977000,2.496000
3.162630,0.041743,0.372764,0.759249,9.998082,30.636460,3.411746,8.344000,29.244000,2.434000
3.193881,0.041743,0.372764,0.759249,10.012609,30.780714,3.426273,8.344000,29.244000,2.434000
3.244952,0.034451,0.376417,0.758435,9.551470,30.939156,3.267831,7.819000,29.499000,2.380000
3.276212,0.034451,0.376417,0.758435,9.436270,31.112125,3.339788,7.819000,29.499000,2.380000
3.327299,0.027131,0.379898,0.757727,9.061279,31.299283,3.166819,7.292000,29.742000,2.333000
3.358552,0.027131,0.379898,0.757727,8.888310,31.212799,3.238777,7.292000,29.742000,2.333000
3.409832,0.019771,0.383192,0.757124,8.542710,31.443537,3.195535,6.762000,29.972000,2.293000
3.441090,0.019771,0.383192,0.757124,8.383930,31.472252,3.181346,6.762000,29.972000,2.293000
3.492346,0.012398,0.386315,0.756626,8.009276,31.760421,3.037093,6.231000,30.190000,2.260000
3.523606,0.012398,0.386315,0.756626,7.793065,31.818190,3.094862,6.231000,30.190000,2.260000
3.574826,0.005027,0.389265,0.756204,7.346453,32.077644,3.051619,5.700000,30.396000,2.232000
3.606100,0.005027,0.389265,0.756204,7.245442,31.962444,3.138104,5.700000,30.396000,2.232000
3.657051,0.002344,0.392044,0.755888,6.697820,32.207370,2.921893,5.169000,30.590000,2.211000
3.688304,0.002344,0.392044,0.755888,6.337355,32.279328,2.878650,5.169000,30.590000,2.211000
3.739490,0.009699,0.394637,0.755632,5.631290,32.279328,3.051619,4.639000,30.771000,2.194000
3.770744,0.009699,0.394637,0.755632,5.516090,32.510066,2.979324,4.639000,30.771000,2.194000
3.822191,0.017038,0.397057,0.755466,5.054952,32.726277,3.022566,4.110000,30.940000,2.183000
3.853462,0.017038,0.397057,0.755466,4.881983,32.697224,3.022566,4.110000,30.940000,2.183000
3.904571,0.024349,0.399306,0.755375,4.363076,32.567497,2.893177,3.583000,31.097000,2.177000
3.935843,0.024349,0.399306,0.755375,4.017138,32.798235,2.921893,3.583000,31.097000,2.177000
3.986933,0.031616,0.401383,0.755330,3.671200,33.100931,2.849935,3.059000,31.242000,2.174000
4.018185,0.031616,0.401383,0.755330,3.671200,32.999920,2.936081,3.059000,31.242000,2.174000
4.069398,0.038827,0.403287,0.755360,3.440800,33.100931,2.849935,2.539000,31.375000,2.176000
4.100666,0.038827,0.403287,0.755360,3.051619,33.115458,2.965135,2.539000,31.375000,2.176000
4.151955,0.045994,0.405020,0.755436,2.792166,33.144173,2.849935,2.022000,31.496000,2.181000
4.183221,0.045994,0.405020,0.755436,2.489470,33.129647,2.820881,2.022000,31.496000,2.181000
4.234387,0.053090,0.406581,0.755556,2.114816,33.317142,2.849935,1.510000,31.605000,2.189000
4.265645,0.053090,0.406581,0.755556,1.855363,33.461058,3.080335,1.510000,31.605000,2.189000
4.317740,0.060115,0.407999,0.755737,1.567194,33.417816,2.792166,1.003000,31.704000,2.201000
4.349004,0.060115,0.407999,0.755737,1.466183,33.619838,2.864124,1.003000,31.704000,2.201000
4.399974,0.067070,0.409245,0.755948,1.033760,33.677269,2.993850,0.501000,31.791000,2.215000
4.431243,0.067070,0.409245,0.755948,0.889844,33.691796,2.864124,0.501000,31.791000,2.215000
4.481888,0.073925,0.410348,0.756189,0.587149,33.720511,3.037093,0.006000,31.868000,2.231000
4.513155,0.073925,0.410348,0.756189,0.486138,33.778280,2.878650,0.006000,31.868000,2.231000
4.566270,0.080710,0.411293,0.756461,0.024999,33.965776,3.008377,-0.484000,31.934000,2.249000
4.597539,0.080710,0.411293,0.756461,-0.046958,33.879292,2.907366,-0.484000,31.934000,2.249000
4.647356,0.087382,0.412109,0.756762,-0.508096,34.052261,2.893177,-0.966000,31.991000,2.269000
4.678608,0.087382,0.412109,0.756762,-0.681065,33.922534,2.950608,-0.966000,31.991000,2.269000
4.729777,0.093969,0.412768,0.757079,-0.883088,33.979965,3.065808,-1.442000,32.037000,2.290000
4.761030,0.093969,0.412768,0.757079,-1.185784,34.066449,3.022566,-1.442000,32.037000,2.290000
4.812015,0.100431,0.413312,0.757425,-1.300984,34.066449,3.080335,-1.909000,32.075000,2.313000
4.843287,0.100431,0.413312,0.757425,-1.617868,33.951249,3.065808,-1.909000,32.075000,2.313000
4.895105,0.106793,0.413713,0.757787,-1.949618,34.210703,2.936081,-2.369000,32.103000,2.337000
4.926364,0.106793,0.413713,0.757787,-2.108060,34.268134,2.993850,-2.369000,32.103000,2.337000
4.976305,0.113043,0.413985,0.758149,-2.439471,34.181650,2.907366,-2.821000,32.122000,2.361000
5.007560,0.113043,0.413985,0.758149,-2.655682,34.080976,2.965135,-2.821000,32.122000,2.361000
5.058980,0.119167,0.414157,0.758511,-2.799936,34.196176,2.893177,-3.264000,32.134000,2.385000
5.090244,0.119167,0.414157,0.758511,-2.987094,34.138745,2.835408,-3.264000,32.134000,2.385000
5.141276,0.125179,0.414200,0.758887,-3.390801,34.152934,3.051619,-3.699000,32.137000,2.410000
5.172536,0.125179,0.414200,0.758887,-3.404990,34.109692,3.051619,-3.699000,32.137000,2.410000
5.223730,0.131051,0.414143,0.759264,-3.750928,34.037734,2.993850,-4.124000,32.133000,2.435000
5.254993,0.131051,0.414143,0.759264,-3.938423,34.124218,3.210062,-4.124000,32.133000,2.435000
5.314502,0.136811,0.413985,0.759641,-4.197877,34.138745,3.065808,-4.541000,32.122000,2.460000
5.345774,0.136811,0.413985,0.759641,-4.226592,34.152934,3.022566,-4.541000,32.122000,2.460000
5.398278,0.142431,0.413728,0.760018,-4.702257,34.325903,3.109050,-4.948000,32.104000,2.485000
5.429546,0.142431,0.413728,0.760018,-4.730973,34.311376,3.022566,-4.948000,32.104000,2.485000
5.470827,0.147912,0.413384,0.760395,-5.062384,34.239418,3.253304,-5.345000,32.080000,2.510000
5.502079,0.147912,0.413384,0.760395,-5.206638,34.196176,3.195535,-5.345000,32.080000,2.510000
5.553792,0.153267,0.412954,0.760741,-5.365080,34.167461,3.224588,-5.733000,32.050000,2.533000
5.585065,0.153267,0.412954,0.760741,-5.494807,34.239418,3.238777,-5.733000,32.050000,2.533000
5.635767,0.158482,0.412439,0.761103,-5.739733,34.239418,3.296546,-6.111000,32.014000,2.557000
5.667019,0.158482,0.412439,0.761103,-5.999187,34.239418,3.339788,-6.111000,32.014000,2.557000
5.718173,0.163559,0.411852,0.761435,-6.258640,34.095503,3.253304,-6.479000,31.973000,2.579000
5.749443,0.163559,0.411852,0.761435,-6.301883,34.167461,3.195535,-6.479000,31.973000,2.579000
5.800745,0.168496,0.411193,0.761766,-6.719779,33.994492,3.296546,-6.837000,31.927000,2.601000
5.832009,0.168496,0.411193,0.761766,-6.792074,34.124218,3.282019,-6.837000,31.927000,2.601000
5.883294,0.173293,0.410462,0.762083,-7.108959,34.224892,3.210062,-7.185000,31.876000,2.622000
5.914550,0.173293,0.410462,0.762083,-7.037001,34.109692,3.354315,-7.185000,31.876000,2.622000
5.966066,0.177952,0.409675,0.762384,-7.440370,33.936723,3.253304,-7.523000,31.821000,2.642000
5.997317,0.177952,0.409675,0.762384,-7.382939,33.951249,3.296546,-7.523000,31.821000,2.642000
6.048210,0.182458,0.408844,0.762671,-7.613339,33.936723,3.354315,-7.850000,31.763000,2.661000
6.079465,0.182458,0.408844,0.762671,-7.772119,33.951249,3.253304,-7.850000,31.763000,2.661000
6.130840,0.186825,0.407942,0.762927,-8.017046,33.965776,3.195535,-8.167000,31.700000,2.678000
6.162096,0.186825,0.407942,0.762927,-8.117719,33.908007,3.440800,-8.167000,31.700000,2.678000
6.213354,0.191054,0.407011,0.763183,-8.434942,33.922534,3.426273,-8.474000,31.635000,2.695000
6.244605,0.191054,0.407011,0.763183,-8.665680,34.052261,3.354315,-8.474000,31.635000,2.695000
