t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
2.287205,0.072689,0.415068,0.756398,1.019571,33.922534,3.037093,-5.054383,28.900434,50.782305
2.338392,0.086182,0.416877,0.756985,0.298980,33.879292,2.993850,-6.027383,29.026434,50.821305
2.369665,0.086182,0.416877,0.756985,-0.003716,33.922534,3.037093,-6.027383,29.026434,50.821305
2.420785,0.099281,0.418125,0.757663,-0.637823,33.951249,3.080335,-6.972383,29.113434,50.866305
2.452041,0.099281,0.418125,0.757663,-1.272268,34.095503,2.993850,-6.972383,29.113434,50.866305
2.503129,0.111930,0.418857,0.758387,-1.733406,34.167461,2.965135,-7.885383,29.164434,50.914305
2.534398,0.111930,0.418857,0.758387,-2.093533,34.109692,3.109050,-7.885383,29.164434,50.914305
2.585446,0.124102,0.419101,0.759155,-2.597913,34.311376,2.965135,-8.764383,29.181434,50.965305
2.616714,0.124102,0.419101,0.759155,-3.030336,34.253945,3.123577,-8.764383,29.181434,50.965305
2.668272,0.135782,0.418915,0.759938,-3.549243,34.268134,3.051619,-9.608383,29.168434,51.017305
2.699544,0.135782,0.418915,0.759938,-3.851939,34.340430,3.166819,-9.608383,29.168434,51.017305
2.750601,0.146932,0.418341,0.760707,-4.457330,34.224892,3.123577,-10.414383,29.128434,51.068305
2.781857,0.146932,0.418341,0.760707,-4.601246,34.426914,3.267831,-10.414383,29.128434,51.068305
2.833125,0.157536,0.417422,0.761430,-5.221164,34.311376,3.210062,-11.181383,29.064434,51.116305
2.864376,0.157536,0.417422,0.761430,-5.639060,34.239418,3.311073,-11.181383,29.064434,51.116305
2.915287,0.167595,0.416202,0.762123,-6.128914,34.311376,3.383031,-11.909383,28.979434,51.162305
2.946544,0.167595,0.416202,0.762123,-6.474852,34.210703,3.224588,-11.909383,28.979434,51.162305
2.997985,0.177070,0.414709,0.762771,-6.950516,34.224892,3.224588,-12.595383,28.875434,51.205305
3.029247,0.177070,0.414709,0.762771,-7.108959,34.297187,3.354315,-12.595383,28.875434,51.205305
3.080417,0.185988,0.412987,0.763343,-7.570097,34.066449,3.311073,-13.241383,28.755434,51.243305
3.111686,0.185988,0.412987,0.763343,-7.887319,33.936723,3.383031,-13.241383,28.755434,51.243305
3.162714,0.194322,0.411092,0.763870,-8.261973,34.009018,3.296546,-13.845383,28.623434,51.278305
3.193984,0.194322,0.411092,0.763870,-8.550142,33.951249,3.440800,-13.845383,28.623434,51.278305
3.245227,0.202087,0.409025,0.764322,-8.867364,33.936723,3.311073,-14.408383,28.479434,51.308305
3.276496,0.202087,0.409025,0.764322,-9.141007,33.908007,3.296546,-14.408383,28.479434,51.308305
3.330641,0.209270,0.406857,0.764699,-9.429514,34.037734,3.454988,-14.929383,28.328434,51.333305
3.361896,0.209270,0.406857,0.764699,-9.616672,33.677269,3.527284,-14.929383,28.328434,51.333305
3.410241,0.215870,0.404575,0.765030,-10.135579,33.619838,3.512757,-15.408383,28.169434,51.355305
3.441493,0.215870,0.404575,0.765030,-10.250779,33.605311,3.556000,-15.408383,28.169434,51.355305
3.492608,0.221904,0.402249,0.765302,-10.697728,33.648554,3.440800,-15.846383,28.007434,51.373305
3.523870,0.221904,0.402249,0.765302,-10.856170,33.475585,3.469515,-15.846383,28.007434,51.373305
3.574902,0.227371,0.399866,0.765528,-11.245351,33.432342,3.469515,-16.243383,27.841434,51.388305
3.606152,0.227371,0.399866,0.765528,-11.187582,33.345858,3.484042,-16.243383,27.841434,51.388305
3.663031,0.232272,0.397468,0.765708,-11.548046,33.100931,3.469515,-16.599383,27.674434,51.400305
