t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
2.668272,0.135782,0.418915,0.759938,-3.549243,34.268134,3.051619,-3.584716,33.364199,3.11476800000001
2.699544,0.135782,0.418915,0.759938,-3.851939,34.34043,3.166819,-3.584716,33.364199,3.11476800000001
2.750601,0.146932,0.418341,0.760707,-4.45733,34.224892,3.123577,-4.390716,33.324199,3.16576800000001
2.781857,0.146932,0.418341,0.760707,-4.601246,34.426914,3.267831,-4.390716,33.324199,3.16576800000001
2.833125,0.157536,0.417422,0.76143,-5.221164,34.311376,3.210062,-5.157716,33.260199,3.213768
2.864376,0.157536,0.417422,0.76143,-5.63906,34.239418,3.311073,-5.157716,33.260199,3.213768
2.915287,0.167595,0.416202,0.762123,-6.128914,34.311376,3.383031,-5.885716,33.175199,3.25976800000001
2.946544,0.167595,0.416202,0.762123,-6.474852,34.210703,3.224588,-5.885716,33.175199,3.25976800000001
2.997985,0.17707,0.414709,0.762771,-6.950516,34.224892,3.224588,-6.571716,33.071199,3.30276800000001
3.029247,0.17707,0.414709,0.762771,-7.108959,34.297187,3.354315,-6.571716,33.071199,3.30276800000001
3.080417,0.185988,0.412987,0.763343,-7.570097,34.066449,3.311073,-7.217716,32.951199,3.340768
3.111686,0.185988,0.412987,0.763343,-7.887319,33.936723,3.383031,-7.217716,32.951199,3.340768
3.162714,0.194322,0.411092,0.76387,-8.261973,34.009018,3.296546,-7.821716,32.819199,3.37576800000001
3.193984,0.194322,0.411092,0.76387,-8.550142,33.951249,3.4408,-7.821716,32.819199,3.37576800000001
3.245227,0.202087,0.409025,0.764322,-8.867364,33.936723,3.311073,-8.384716,32.675199,3.405768
3.276496,0.202087,0.409025,0.764322,-9.141007,33.908007,3.296546,-8.384716,32.675199,3.405768
3.330641,0.20927,0.406857,0.764699,-9.429514,34.037734,3.454988,-8.905716,32.524199,3.43076800000001
3.361896,0.20927,0.406857,0.764699,-9.616672,33.677269,3.527284,-8.905716,32.524199,3.43076800000001
3.410241,0.21587,0.404575,0.76503,-10.135579,33.619838,3.512757,-9.384716,32.365199,3.45276800000001
3.441493,0.21587,0.404575,0.76503,-10.250779,33.605311,3.556,-9.384716,32.365199,3.45276800000001
3.492608,0.221904,0.402249,0.765302,-10.697728,33.648554,3.4408,-9.822716,32.203199,3.47076800000001
3.52387,0.221904,0.402249,0.765302,-10.85617,33.475585,3.469515,-9.822716,32.203199,3.47076800000001
3.574902,0.227371,0.399866,0.765528,-11.245351,33.432342,3.469515,-10.219716,32.037199,3.48576800000001
3.606152,0.227371,0.399866,0.765528,-11.187582,33.345858,3.484042,-10.219716,32.037199,3.48576800000001
3.663031,0.232272,0.397468,0.765708,-11.548046,33.100931,3.469515,-10.575716,31.870199,3.49776800000001
3.694316,0.232272,0.397468,0.765708,-11.677773,33.172889,3.642484,-10.575716,31.870199,3.49776800000001
3.749516,0.236621,0.395071,0.765859,-11.879458,32.985731,3.512757,-10.891716,31.703199,3.50776800000001
3.780771,0.236621,0.395071,0.765859,-12.0379,32.899246,3.570526,-10.891716,31.703199,3.50776800000001
3.828664,0.240418,0.392702,0.765995,-12.167627,33.028973,3.469515,-11.167716,31.538199,3.51676800000001
3.859924,0.240418,0.392702,0.765995,-12.31188,32.683035,3.498231,-11.167716,31.538199,3.51676800000001
3.904843,0.243678,0.390347,0.76613,-12.585523,32.76952,3.498231,-11.404716,31.374199,3.52576800000001
3.936107,0.243678,0.390347,0.76613,-12.672007,32.697224,3.541473,-11.404716,31.374199,3.52576800000001
3.987327,0.246415,0.388036,0.766266,-12.758492,32.596551,3.454988,-11.603716,31.213199,3.53476800000001
4.018583,0.246415,0.388036,0.766266,-12.773018,32.466824,3.6712,-11.603716,31.213199,3.53476800000001
4.069682,0.248615,0.385781,0.766446,-13.017945,32.495539,3.498231,-11.763716,31.056199,3.54676800000001
4.100939,0.248615,0.385781,0.766446,-13.061187,32.32257,3.657011,-11.763716,31.056199,3.54676800000001
4.151999,0.250306,0.38357,0.766657,-13.10443,32.351624,3.584715,-11.886716,30.902199,3.560768
4.18326,0.250306,0.38357,0.766657,-13.234156,32.178655,3.584715,-11.886716,30.902199,3.560768
4.23445,0.251502,0.381431,0.766913,-13.306114,32.063117,3.570526,-11.973716,30.753199,3.57776800000001
4.265722,0.251502,0.381431,0.766913,-13.479083,32.034401,3.527284,-11.973716,30.753199,3.57776800000001
4.31724,0.252203,0.379348,0.76726,-13.37841,31.919201,3.613769,-12.024716,30.608199,3.600768
4.348501,0.252203,0.379348,0.76726,-13.450368,31.991159,3.627957,-12.024716,30.608199,3.600768
4.399432,0.252423,0.377324,0.767697,-13.479083,31.861432,3.642484,-12.040716,30.467199,3.62976800000001
4.430702,0.252423,0.377324,0.767697,-13.594621,31.803663,3.6712,-12.040716,30.467199,3.62976800000001
